,name,bottom_theme,count
0,11,Executing,2
1,11,Relationship Building,3
2,12,Executing,3
3,12,Influencing,1
4,12,Relationship Building,1
5,13,Executing,1
6,13,Relationship Building,1
7,13,Strategic Thinking,3
8,14,Executing,3
9,14,Relationship Building,1
10,14,Strategic Thinking,1
11,17,Executing,3
12,17,Relationship Building,1
13,17,Strategic Thinking,1
14,18,Executing,1
15,18,Influencing,2
16,18,Relationship Building,1
17,18,Strategic Thinking,1
18,19,Executing,2
19,19,Influencing,1
20,19,Relationship Building,2
21,20,Executing,3
22,20,Relationship Building,1
23,20,Strategic Thinking,1
24,21,Executing,3
25,21,Influencing,2
26,22,Executing,1
27,22,Influencing,1
28,22,Relationship Building,2
29,22,Strategic Thinking,1
30,23,Influencing,3
31,23,Relationship Building,2
32,24,Executing,2
33,24,Relationship Building,1
34,24,Strategic Thinking,2
35,25,Executing,2
36,25,Influencing,1
37,25,Relationship Building,1
38,25,Strategic Thinking,1
39,26,Executing,2
40,26,Influencing,1
41,26,Relationship Building,2
42,27,Executing,1
43,27,Influencing,1
44,27,Relationship Building,3
45,28,Executing,2
46,28,Relationship Building,2
47,28,Strategic Thinking,1
48,29,Influencing,2
49,29,Strategic Thinking,3
50,30,Executing,1
51,30,Influencing,1
52,30,Relationship Building,2
53,30,Strategic Thinking,1
54,31,Executing,1
55,31,Influencing,2
56,31,Relationship Building,2
57,32,Executing,2
58,32,Influencing,2
59,32,Strategic Thinking,1
