,bottom_five_count,bottom_five_percentage
Harmony,11,50.0
Consistency,10,45.45454545454545
Deliberate,10,45.45454545454545
Context,9,40.909090909090914
Restorative,8,36.36363636363637
Discipline,6,27.27272727272727
Competition,6,27.27272727272727
Adaptability,5,22.727272727272727
Significance,5,22.727272727272727
Empathy,5,22.727272727272727
Woo,4,18.181818181818183
Includer,4,18.181818181818183
Input,3,13.636363636363635
Maximizer,3,13.636363636363635
Connectedness,2,9.090909090909092
Strategic,2,9.090909090909092
Individualization,1,4.545454545454546
Communication,1,4.545454545454546
Achiever,1,4.545454545454546
Analytical,1,4.545454545454546
Ideation,1,4.545454545454546
Intellection,1,4.545454545454546
Command,1,4.545454545454546
