,name,top_theme,count
0,11,Executing,1
1,11,Influencing,4
2,11,Relationship Building,2
3,11,Strategic Thinking,3
4,12,Executing,1
5,12,Influencing,2
6,12,Relationship Building,2
7,12,Strategic Thinking,5
8,13,Executing,2
9,13,Influencing,3
10,13,Relationship Building,5
11,14,Executing,3
12,14,Influencing,2
13,14,Relationship Building,2
14,14,Strategic Thinking,3
15,15,Relationship Building,2
16,15,Strategic Thinking,3
17,16,Influencing,2
18,16,Relationship Building,1
19,16,Strategic Thinking,2
20,17,Influencing,3
21,17,Relationship Building,5
22,17,Strategic Thinking,2
23,18,Executing,2
24,18,Influencing,1
25,18,Relationship Building,4
26,18,Strategic Thinking,3
27,19,Executing,2
28,19,Influencing,2
29,19,Relationship Building,3
30,19,Strategic Thinking,3
31,20,Executing,2
32,20,Influencing,1
33,20,Relationship Building,3
34,20,Strategic Thinking,4
35,21,Relationship Building,4
36,21,Strategic Thinking,6
37,22,Executing,3
38,22,Influencing,2
39,22,Relationship Building,3
40,22,Strategic Thinking,2
41,23,Executing,3
42,23,Relationship Building,3
43,23,Strategic Thinking,4
44,24,Executing,4
45,24,Influencing,3
46,24,Relationship Building,2
47,24,Strategic Thinking,1
48,25,Executing,2
49,25,Influencing,1
50,25,Relationship Building,3
51,25,Strategic Thinking,4
52,26,Executing,3
53,26,Influencing,2
54,26,Relationship Building,3
55,26,Strategic Thinking,2
56,27,Executing,1
57,27,Influencing,1
58,27,Relationship Building,3
59,27,Strategic Thinking,5
60,28,Executing,2
61,28,Influencing,4
62,28,Relationship Building,1
63,28,Strategic Thinking,3
64,29,Executing,4
65,29,Relationship Building,4
66,29,Strategic Thinking,2
67,30,Executing,1
68,30,Influencing,3
69,30,Relationship Building,2
70,30,Strategic Thinking,4
71,31,Executing,3
72,31,Relationship Building,3
73,31,Strategic Thinking,4
74,32,Executing,1
75,32,Influencing,1
76,32,Relationship Building,3
77,32,Strategic Thinking,5
