,top_ten_count,top_ten_percentage
Relator,16,72.72727272727273
Individualization,14,63.63636363636363
Learner,14,63.63636363636363
Strategic,13,59.09090909090909
Arranger,13,59.09090909090909
Futuristic,11,50.0
Maximizer,10,45.45454545454545
Input,10,45.45454545454545
Connectedness,9,40.909090909090914
Activator,9,40.909090909090914
Ideation,9,40.909090909090914
Achiever,8,36.36363636363637
Developer,7,31.818181818181817
Responsibility,6,27.27272727272727
Intellection,6,27.27272727272727
Positivity,6,27.27272727272727
Adaptability,4,18.181818181818183
Communication,4,18.181818181818183
Analytical,4,18.181818181818183
Focus,4,18.181818181818183
Competition,3,13.636363636363635
Self-Assurance,3,13.636363636363635
Empathy,3,13.636363636363635
Discipline,3,13.636363636363635
Significance,3,13.636363636363635
Context,3,13.636363636363635
Command,3,13.636363636363635
Restorative,3,13.636363636363635
Woo,2,9.090909090909092
Includer,2,9.090909090909092
Harmony,2,9.090909090909092
Belief,2,9.090909090909092
Consistency,1,4.545454545454546
